freq (Hz)	real	complex
0.000000E+0	4.500709E-1	0.000000E+0
1.000000E+0	6.915243E-1	0.000000E+0
2.000000E+0	1.107891E+0	0.000000E+0
3.000000E+0	1.490335E+0	0.000000E+0
4.000000E+0	1.764379E+0	0.000000E+0
5.000000E+0	1.881809E+0	0.000000E+0
6.000000E+0	1.813074E+0	0.000000E+0
7.000000E+0	1.553727E+0	0.000000E+0
8.000000E+0	1.129480E+0	0.000000E+0
9.000000E+0	5.956782E-1	0.000000E+0
1.000000E+1	4.008441E-2	0.000000E+0
1.100000E+1	4.843271E-1	0.000000E+0
1.200000E+1	8.610305E-1	0.000000E+0
1.300000E+1	1.044176E+0	0.000000E+0
1.400000E+1	1.008153E+0	0.000000E+0
1.500000E+1	7.672820E-1	0.000000E+0
1.600000E+1	3.818610E-1	0.000000E+0
1.700000E+1	2.162465E-1	0.000000E+0
1.800000E+1	6.439856E-1	0.000000E+0
1.900000E+1	1.024735E+0	0.000000E+0
2.000000E+1	1.252064E+0	0.000000E+0
2.100000E+1	1.286600E+0	0.000000E+0
2.200000E+1	1.128541E+0	0.000000E+0
2.300000E+1	8.164507E-1	0.000000E+0
2.400000E+1	4.370624E-1	0.000000E+0
2.500000E+1	2.994630E-1	0.000000E+0
2.600000E+1	5.994707E-1	0.000000E+0
2.700000E+1	8.857976E-1	0.000000E+0
2.800000E+1	1.045516E+0	0.000000E+0
2.900000E+1	1.057574E+0	0.000000E+0
3.000000E+1	9.340132E-1	0.000000E+0
3.100000E+1	7.081878E-1	0.000000E+0
3.200000E+1	4.249832E-1	0.000000E+0
3.300000E+1	1.336342E-1	0.000000E+0
3.400000E+1	1.465266E-1	0.000000E+0
3.500000E+1	3.548617E-1	0.000000E+0
3.600000E+1	4.942047E-1	0.000000E+0
3.700000E+1	5.578242E-1	0.000000E+0
3.800000E+1	5.495151E-1	0.000000E+0
3.900000E+1	4.793759E-1	0.000000E+0
4.000000E+1	3.623968E-1	0.000000E+0
4.100000E+1	2.179290E-1	0.000000E+0
4.200000E+1	6.882902E-2	0.000000E+0
4.300000E+1	6.130877E-2	0.000000E+0
4.400000E+1	1.505302E-1	0.000000E+0
4.500000E+1	1.852188E-1	0.000000E+0
4.600000E+1	1.631431E-1	0.000000E+0
4.700000E+1	1.002668E-1	0.000000E+0
4.800000E+1	7.470163E-2	0.000000E+0
4.900000E+1	1.521628E-1	0.000000E+0
5.000000E+1	2.252989E-1	0.000000E+0
5.100000E+1	2.568950E-1	0.000000E+0
